135;87;MoneyPolo EUR;EUR MoneyPolo;978;0;100000000000111101100100011011111000110100000000101111011100000000111011100000000000010111010110000101000000000000000000000101011100011100100000000000000000000
136;89;Neteller EUR;EUR Neteller;978;0;110100000000101101100000000000000000000000000000000100011100000000101011100000000000010000010000000001000000000000000000000000000000000100000000000000000000000
137;35;Namecoin (NMC);NMC;995;0;100000000000111001101100011011111101110000000000000111111101001010111011100000000011000000001000000011111111010000000000000000001000000000000001010101010000000
138;36;Peercoin (PPC);PPC;994;0;100000000000111001101100011011111110110010001000000111111101001011111011100000000011000000001000000011111111011000000000000000001000000000000001010101010000000
139;29;Ethereum (ETH);ETH;993;0;110000001100111111101111011111111111111111001110101111111101111011111011110000001111011110011111000111111111111111111111011111011110111110100101010111110011110
140;37;Dash (DASH);DASH;992;0;110000000000111111111111011111111111011111001010101111111111111011111011110000000011011110011100000011111111111111011111011111011110111100100101010111110011110
141;157;Наличные EUR;EUR Наличными;978;3;000000000000100001100000011011111000111000000000000101000100000000101011000000000000000000000100000000000000000000010000000000000000010000000000000000000000000
142;70;Advanced Cash UAH;UAH AdvCash;980;0;110000001100101001100000000000000000000000000000000100000000000000111011000000001000000000000000000000000000000000010000000000000000000000000000000000000000000
143;104;Альфа cash-in USD;USD Альфа cash-in;840;1;100000000000100001100100011111111111111111111110111111011000001000111011100000000010000000000000000000000000000000000000000000000000000000000000000000000000000
144;10;Paymer RUB;RUB Paymer;643;0;000000001000101001100000011010100100110000000000000110011010000000110011100000001000000000000100000011100111101000010000000000000000000000000000000000000000000
145;83;Capitalist USD;USD Capitalist;840;0;110000000000101001101000011011111111111001000000000111111101111000111011110000001001000000001000000011111111111110010110000000011010011010000000000000000011010
146;61;Cryptocheck;USD Cryptocheck;840;0;100000000000101001000000010010101000000000000000000110010000000000111010000000000010000000000000000001101111110010010110000000001010001010000000000000000011010
147;85;Epese;USD Epese;840;0;000000000000101001000000010000000000001000000000000110010000100000010010000000000010000000000000000001101111110010010110000000001010001010000000000000000011010
148;65;Криптобиржи USD;USD Trade;840;0;000000000000000000000000011111111111111111111111111000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
149;33;Monero (XMR);XMR;991;0;110000000000111101101100011011110111111111001010101111111111111011111011100000000011011110011100000011111111111110011111000000011110011100000101010111110011110
150;153;Ria USD;USD Ria;840;2;100000000000001001100100010010100000000000000000000100010000001000100010010000000000000000010000000000000000000000000000000000000000000000000000000000000000000
151;154;Ria EUR;EUR Ria;978;2;000000000000000001000000010000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
152;90;PaySera;USD PaySera;840;0;100000000000111101100100000000000000000000000000000000000000000000111010100000000000010000010000000000000000000000000000000000011100011100000000000000000000000
153;66;Криптобиржи EUR;EUR Trade;978;0;000000000000000000000000011110111001110000000010000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
154;96;Epay USD;USD Epay;840;0;100000000000111001100111011111111000111101000110101111011100000000111011110000001000000000010100000000000000000000000000000000011100010100000000010101000010000
155;100;E-kzt;KZT E-kzt;398;0;110000000000101011100000010010100000000000000000000111000100000000111011100000000000010000000110000001000000000000000000011110000000100000000000000000000000000
156;21;PM e-Voucher USD;USD PMV;840;0;110000001100101001100000011011111111110011001000000111111101011000111011100000000011000000001100000011100111011110010000010100001000101000000000000000000010010
157;113;Райффайзен;RUB РФБ;643;1;000000000000101001101000011011111100110000000000000111011100001000111011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000
158;117;Райффайзен UAH;UAH РФБ;980;1;100000000000100001100000011111110100111101001000000111010000001000111011000000000000000000000110000000000000000000000000000000000000000000000000000000000000000
159;143;Счет ИП или ООО;RUB РасчСчет;643;1;110000000000101000000100010010101000000000000000000101000000000000101000000000000000000000001000000000000000000000000000000000001000010100000000000000000000000
160;30;Ether Classic (ETC);ETC;990;0;110000000000101001101100011110111111111111001000101111111101011010111011100000000011011000001100000011111111111110011111011111011110111100100101010101010010110
161;32;Ripple (XRP);XRP;989;0;110000000000111001101100011111101111111101001010101111111101011011111011100000000011011000011100000011111111111110011111011111011110111100100101010111110011010
